"","business_id","name","neighborhood","address","postal_code","latitude","longitude","stars","review_count","open_2017","categories","open_2019","august_2017_median"
"1","f4kNNLU_0q_2J711jCN7dA","""Paymon's Mediterranean Cafe & Lounge""","University","""4147 S Maryland Pkwy""","89119",36.1136516,-115.1383819,4,555,1,"Greek;Restaurants;Vegetarian;Mediterranean",1,855
"2","hvuKpdYWyoFm6abwfQiipQ","""Sofia's Pizza""","Sunrise","""3124 Las Vegas Blvd N""","89115",36.2144129138,-115.097587776,2.5,17,1,"Restaurants;Pizza",1,1025
"3","7UFDAX4wLi6ux5otguYldA","""Andiron Steak & Sea""","South Summerlin","""1720 Festival Plaza Dr""","89135",36.152929,-115.333119,4,376,1,"Steakhouses;American (New);Restaurants;Seafood",1,1872.5
"4","q7f_lCOKf40idrVSzmoYug","""Cinnabon""","Southeast","""McCarran Airport""","89119",36.0814793064,-115.13721195,3,26,1,"Desserts;Food",1,855
"5","KalAJyO0Zpg3K1wVwYXBHA","""Marché Bacchus""","Summerlin","""2620 Regatta Dr, Ste 106""","89128",36.2075183,-115.2681365,3.5,616,1,"Bars;Nightlife;Restaurants;French;Wine Bars",1,1100
"6","ybHlmdUHLPKfv85bRK4Wtw","""Grouchy John's Coffee""","Southeast","""8520 S Maryland Pkwy, Ste 100""","89123",36.0350856,-115.1357578,4.5,922,1,"Juice Bars & Smoothies;Cafes;Food Trucks;Bagels;Coffee & Tea;Breakfast & Brunch;Restaurants;Food",1,1395
"7","W7DwXa_7LNmETFHSQJZ2Lg","""Sushi Mon""","Westside","""8320 W Sahara Ave, Ste 180""","89117",36.1446660205,-115.272705995,3.5,255,1,"Sushi Bars;Japanese;Restaurants",1,1400
"8","_JusTiXCx4qqhO_HfLsUtQ","""Mr. Bangkok""","Southeast","""7582 S Las Vegas Blvd, Ste 241""","89123",36.050351,-115.171564,5,3,1,"Gluten-Free;Restaurants;Health Markets;Thai;Food;Food Delivery Services;Specialty Food",1,1395
"9","1s3WA23Cac_p0xWu7mB18A","""7-Eleven""","Centennial","""7785 N Durango""","89131",36.3027121073,-115.281680077,3,13,1,"Food;Convenience Stores",1,1450
"10","Us0VHOegBKE6L4k-xEVxxg","""Buldogis Unleashed Food Truck""","Westside","""2291 S Fort Apache Rd, Ste 102""","89117",36.1470835,-115.2982993,4,17,1,"Hot Dogs;Food Trucks;Restaurants;Food;Korean",1,1400
"11","V-0qRzBHKixmQgon_fW_AA","""Makai Pacific Island Grill""","Spring Valley","""5165 S Fort Apache Rd, Ste 150""","89148",36.0957104,-115.2982167,4.5,436,1,"Restaurants;Hawaiian;American (Traditional);Asian Fusion;Food;Barbeque",1,1475
"12","SVGApDPNdpFlEjwRQThCxA","""Juan's Flaming Fajitas & Cantina""","Spring Valley","""9640 W Tropicana, Ste 101""","89147",36.100509,-115.302689,4.5,1210,1,"Restaurants;Bars;Nightlife;Mexican",1,1300
"13","-Jo0rJr2mZxBVgaJqDs-TQ","""Chiamaka Food""","Southeast","""5006 S Maryland Pkwy, Ste 11""","89119",36.0987437,-115.1360224,3,4,1,"South African;Restaurants;African",1,855
"14","n2kgJSiB7Q4u7AkDvYfzlg","""Munch Box""","Spring Valley","""6105 S Fort Apache Rd""","89148",36.077363,-115.298051,4.5,3,1,"Breakfast & Brunch;Restaurants",1,1475
