"","X.1","X","business_id","name","open_2019","neighborhood","august_2017_median","stars","review_count","categories","age","american"
"1",1,1,"_-3aZXuecjOSjramI1IBkA","""Fountain Grille Restaurant""",1,"Eastside",1375,3.5,3,"American (New);American (Traditional);Breakfast & Brunch;Restaurants",3320,"1"
"2",2,2,"_0x7W6fizaPP76xNBxBLAQ","""Stephano's Greek & Mediterranean Grill""",1,"Spring Valley",1475,4,205,"Middle Eastern;Greek;Restaurants;Mediterranean;Lebanese",1113,"0"
"3",3,3,"_2fjiOHfu-S7fS2n4wfySw","""Jersey Mike's Subs""",1,"Spring Valley",1475,4,56,"Restaurants;Sandwiches;Delis;Fast Food",2386,"0"
"4",4,4,"_3FxLxdg1unUQc3QqIgJuA","""T-Bones Chophouse""",1,"South Summerlin",1872.5,3.5,385,"Steakhouses;Restaurants",4438,"1"
"5",5,5,"_6UaHEnDDbUla3Pa3VVu3Q","""Asia Creamery""",1,"Southwest",1450,4.5,60,"Food;Ice Cream & Frozen Yogurt;Desserts;Custom Cakes",836,"0"
"6",6,6,"_8mBVtt6yhkS0YtT1FGBNg","""Nekter Juice Bar""",1,"Summerlin",1550,3.5,73,"Vegan;Acai Bowls;Juice Bars & Smoothies;Food;Restaurants;Gluten-Free",1328,"0"
"7",7,7,"_AWD_scQBxowJ8gzorqcgA","""Wolf and Lamb PC""",1,"Spring Valley",1100,5,3,"Arts & Entertainment;Internet Cafes;Shopping;Video Game Stores;LAN Centers;Books;Mags;Music & Video;Food",552,"0"
"8",8,8,"_axD8DiO1to9Am8xJjtKHw","""Dunkin' Donuts""",1,"Spring Valley",1225,3.5,57,"Coffee & Tea;Food;Donuts",2897,"0"
"9",9,9,"_bOlJfNELoVIiYGonYnPWw","""Sushi House""",1,"Sunrise",1095,3.5,31,"Restaurants;Sushi Bars;Japanese",1580,"0"
"10",10,10,"_CpqFQNn-5cGtlGCuWI9uw","""Cowboy Trail Farm""",0,"Centennial",1450,5,5,"Farmers Market;Food",2411,"0"
"11",11,11,"_cs_J4j8XXyBgihJs83qUg","""Church's Chicken""",1,"Southwest",1250,2,105,"Chicken Wings;Fast Food;Restaurants;Burgers",2484,"1"
"12",12,12,"_eDVVS8wwXcdllaW6nfLyg","""Paid In Full""",1,"Spring Valley",1250,4.5,50,"Restaurants;Korean;Tapas/Small Plates;Japanese;Food;Street Vendors",568,"0"
"13",13,13,"_ek_DoAnoHtpwaBwaIFr4Q","""Starbucks""",1,"Southeast",1300,2.5,7,"Food;Coffee & Tea",1145,"0"
"14",14,14,"_ewxwEwJM-IYfIYnKpQOZw","""Mexicali Raspados""",1,"Eastside",1100,4.5,47,"Restaurants;Ice Cream & Frozen Yogurt;Shaved Ice;Hot Dogs;Food",1385,"0"
"15",15,15,"_Fo8uNT17BEBUkKvUXCZkQ","""Tacos La Carreta""",1,"Spring Valley",1300,4.5,45,"Food;Mexican;American (New);Restaurants",1123,"1"
"16",16,16,"_gMR_YdsMwwKy63-UwjdnA","""Ohana Hawaiian BBQ""",1,"Southwest",1450,4,40,"Chinese;Restaurants;Hawaiian;Barbeque",611,"0"
"17",17,17,"_hML_SleB40KkUrMHOZ_-Q","""Rx Boiler Room""",0,"The Strip",855,4,401,"American (Traditional);Cocktail Bars;Nightlife;Bars;Restaurants;American (New)",2107,"1"
"18",18,18,"_iySw-CXvA2wx0sn8pRiAA","""Starbucks""",1,"Summerlin",1872.5,2,7,"Coffee & Tea;Food",2141,"0"
"19",19,19,"_JbuDLG7SFEtiCVDT1M0CQ","""Bowlology""",1,"Summerlin",1872.5,4,189,"Live/Raw Food;Food;Acai Bowls;Poke;Restaurants;Juice Bars & Smoothies",1612,"0"
"20",20,21,"_K2_Yf_ltfhuJ2JGCOs85g","""S7 Buffet""",1,"Eastside",1375,2.5,106,"Buffets;Restaurants",3547,"0"
"21",21,22,"_Kd0kQ8RF70hJ1ykLqCRyQ","""Cafe Rio""",1,"Southeast",1395,3.5,340,"Mexican;Restaurants",4141,"0"
"22",22,23,"_kdpjoGrIzA64E6aXHA66w","""Barcelona Tapas""",0,"Southwest",1495,4,413,"Restaurants;Tapas Bars;Spanish",3508,"0"
"23",23,25,"_O5zubqsiY9kEaNAmR-24w","""The Baking Cup Sweet Shop""",1,"Summerlin",1100,5,32,"Farmers Market;Bakeries;Cupcakes;Food;Desserts",1675,"0"
"24",24,26,"_OTl6V2oUfMMmoDWD2nXVg","""Beau Monde Bakery""",0,"Summerlin",1100,4,80,"Food;Gluten-Free;Restaurants;Bakeries",2790,"0"
"25",25,27,"_paJE9yQfSvo25BKBQrKZA","""El Pollo Loco""",1,"Southeast",1395,3,62,"Fast Food;Restaurants;Mexican",3222,"0"
"26",26,28,"_QvGAqMmrUIlxpby2Ul5Dg","""Dona Maria Tamales Restaurant""",1,"Northwest",1300,3.5,242,"Food;Desserts;Mexican;Seafood;Restaurants",4245,"0"
"27",27,29,"_RiwESa2w64ls6y_5tE4CA","""Yoshi Burritos""",1,"Spring Valley",1300,4.5,161,"Food;Sushi Bars;Restaurants;Poke;Asian Fusion",874,"0"
"28",28,30,"_sh6mIBWZis66mAjkjN8Qg","""Rachel's Kitchen""",1,"Summerlin",1550,3.5,227,"Breakfast & Brunch;American (New);American (Traditional);Sandwiches;Restaurants;Juice Bars & Smoothies;Food",2354,"1"
"29",29,32,"_TRbETlhqQq0OLzWbAPkvA","""Ace Donuts""",1,"Spring Valley",1300,4,136,"Food;Donuts",1576,"0"
"30",30,34,"_V0yJdpXrbdKzBDoVSJGWA","""Silver Sevens Hotel and Casino""",1,"Eastside",1375,2.5,319,"Hotels & Travel;Hotels;American (Traditional);Food;Event Planning & Services;Restaurants;Arts & Entertainment;Casinos;Do-It-Yourself Food",2099,"1"
