"","business_id","name","neighborhood","address","postal_code","latitude","longitude","stars","review_count","open_2017","categories","open_2019","august_2017_median"
"9486","WvcUKsNMERSP_dPkgsq9ZA","""GSI Las Vegas Home Inspections""","Southeast","""9550 S Eastern Ave, Ste 253""","89123",36.0153561,-115.1185146,5,45,1,"Real Estate Agents;Home Inspectors;Home Services;Real Estate;Real Estate Services",1,1395
"7526","R073RHVTWuUc_JabjD0bsA","""Villa Pizza Durango""","Spring Valley","""3385 S Durango Dr""","89117",36.128132,-115.279908,4,97,1,"Restaurants;Salad;Pizza;Italian;Sandwiches",1,1400
"3461","Em_U9esTgiJfb9kIZL36kw","""Subway""","Southeast","""6500 Boulder Hwy""","89122",36.083612831,-115.032739669,2.5,8,1,"Restaurants;Fast Food;Sandwiches",1,1195
"8115","SUd3IyEN7n5OYEGyt_U5lg","""Jefe's Taco Shop""","Northwest","""5700 Sky Pointe Dr""","89130",36.2649537244,-115.251905881,4.5,363,1,"Fast Food;Restaurants;Breakfast & Brunch;Mexican",1,1330
"7220","q1v62uMnHppCbXRVO3ux1A","""Everett""","Southwest","""7227 W Windmill Ln""","89113",36.0407579,-115.249573,4.5,9,1,"Real Estate;Home Services;Apartments",1,1250
"3928","G1iPhU3XUPhfG0_mwiyB9w","""A Ronnow Lawn Sprinkler""","Northwest","""5191 Tee Pee Ln""","89149",36.255258,-115.302233,4,12,1,"Home Services;Irrigation;Landscape Architects;Gardeners;Shopping;Farming Equipment;Farms;Arts & Entertainment;Tree Services",1,1350
"4611","hzdESAd29XmdQhTyuj1gJA","""Nathan's Famous""","The Strip","""3950 S Las Vegas Boulevard, Mandalay Bay""","89119",36.092492,-115.1762609,2.5,9,1,"Restaurants;Hot Dogs",1,855
"5542","kvRJjMN1XZtfgLxhVP_BPw","""Modern Landscape, LLC""","Centennial","""7733 Silver Mallard Ave""","89131",36.2960744,-115.2647658,4.5,13,1,"Contractors;Landscape Architects;Home Services;Landscaping",1,1450
"2236","aZMUdPld420PxZA87w3U_A","""Duke of Computers""","Summerlin","""8447 W Lake Mead Blvd""","89128",36.1977273624,-115.280165038,5,19,1,"Professional Services;IT Services & Computer Repair;Data Recovery;Local Services;Computers;Web Design;Shopping",1,1100
"3653","F80J7YybxcmwHpPkbEsd-g","""Closet Couture""","Chinatown","""3650 S Jones Blvd, Ste 8""","89103",36.1230052,-115.2241009,4.5,27,1,"Thrift Stores;Fashion;Used;Vintage & Consignment;Shopping",1,1225
"6155","Mtj_urcVcj365AxrkvF1Uw","""Hair Today""","Southeast","""2375 E Tropicana Ave, Ste 1""","89119",36.0999048,-115.1203741,5,5,1,"Beauty & Spas;Barbers",0,855
