"","business_id","name","neighborhood","address","postal_code","stars","review_count","categories","open_2019","american","age","chain"
"1","_-3aZXuecjOSjramI1IBkA","""Fountain Grille Restaurant""","Eastside","""3600 Paradise Rd""","89169",3.5,3,"American (New);American (Traditional);Breakfast & Brunch;Restaurants",1,"1",3326,FALSE
"2","_-QrdVYJbebaC2qschZ6iQ","""Little Caesars Pizza""","Westside","""4559 W Charleston Blvd""","89102",2,16,"Restaurants;Pizza",1,"0",2293,FALSE
"3","_0x7W6fizaPP76xNBxBLAQ","""Stephano's Greek & Mediterranean Grill""","Spring Valley","""6115 S Fort Apache Rd""","89148",4,205,"Middle Eastern;Greek;Restaurants;Mediterranean;Lebanese",1,"0",1119,FALSE
"4","_0ZIFTvfcA3UETO_S_JTNA","""McDonald's""","Westside","""4411 W Sahara Ave""","89102",2,45,"Restaurants;Burgers;Fast Food",1,"1",3749,FALSE
"5","_1hAnIZIVg5Ijpd5ex5klA","""True Foods""",NA,"""2408 Karli Dr""","89102",5,6,"Food;Farmers Market",1,"0",2651,FALSE
"6","_28WWtPWNYlxzl-GY9Gvog","""Spicy City""","Chinatown","""4125 Spring Moutain Rd""","89102",1.5,25,"Restaurants;Szechuan;Chinese",1,"0",1702,FALSE
"7","_2fjiOHfu-S7fS2n4wfySw","""Jersey Mike's Subs""","Spring Valley","""8680 W Warm Springs Rd, Ste 115""","89148",4,56,"Restaurants;Sandwiches;Delis;Fast Food",1,"0",2392,FALSE
"8","_2Wbpm821bdNsh-gyqufrg","""El Pollo Loco""",NA,"""6131 W Lake Mead Blvd""","89108",2,25,"Mexican;Fast Food;Restaurants",1,"0",2287,FALSE
"9","_3FxLxdg1unUQc3QqIgJuA","""T-Bones Chophouse""","South Summerlin","""11011 W Charleston Blvd""","89135",3.5,385,"Steakhouses;Restaurants",1,"1",4444,FALSE
"10","_4tCeVrLRmI18BscMiHr7Q","""Asmara Restaurant""","Westside","""4180 W Desert Inn Rd""","89102",4,90,"Ethiopian;Restaurants",1,"0",3648,FALSE
"11","_6UaHEnDDbUla3Pa3VVu3Q","""Asia Creamery""","Southwest","""7460 S Rainbow Blvd, Ste 110""","89139",4.5,60,"Food;Ice Cream & Frozen Yogurt;Desserts;Custom Cakes",1,"0",842,FALSE
"12","_8mBVtt6yhkS0YtT1FGBNg","""Nekter Juice Bar""","Summerlin","""1990 Village Center Cir, Ste 3""","89134",3.5,73,"Vegan;Acai Bowls;Juice Bars & Smoothies;Food;Restaurants;Gluten-Free",1,"0",1334,FALSE
"13","_AWD_scQBxowJ8gzorqcgA","""Wolf and Lamb PC""","Spring Valley","""5597 S Rainbow Blvd, Ste140 A""","89118",5,3,"Arts & Entertainment;Internet Cafes;Shopping;Video Game Stores;LAN Centers;Books;Mags;Music & Video;Food",1,"0",558,FALSE
"14","_axD8DiO1to9Am8xJjtKHw","""Dunkin' Donuts""","Spring Valley","""6795 Tropicana Ave, Ste 100""","89103",3.5,57,"Coffee & Tea;Food;Donuts",1,"0",2903,FALSE
"15","_bOlJfNELoVIiYGonYnPWw","""Sushi House""","Sunrise","""5841 E Charleston Blvd""","89142",3.5,31,"Restaurants;Sushi Bars;Japanese",1,"0",1586,FALSE
"16","_cBlppMDZYXS-Bjj4l9qtw","""El Buen Gusto""",NA,"""1593 N Eastern Ave""","89101",3,8,"Salvadoran;Latin American;Restaurants",1,"1",2085,FALSE
"17","_CpqFQNn-5cGtlGCuWI9uw","""Cowboy Trail Farm""","Centennial","""6550 Cowboy Trail Rd""","89131",5,5,"Farmers Market;Food",0,"0",2417,FALSE
"18","_cs_J4j8XXyBgihJs83qUg","""Church's Chicken""","Southwest","""7925 S Rainbow Blvd""","89113",2,105,"Chicken Wings;Fast Food;Restaurants;Burgers",1,"1",2490,FALSE
"19","_e5KDltp_0XNkylTYR1V2w","""Pho So 1""","Chinatown","""4745 Spring Mountain Rd""","89102",2.5,4,"Restaurants;Vietnamese;Soup",1,"0",547,FALSE
"20","_eDVVS8wwXcdllaW6nfLyg","""Paid In Full""","Spring Valley","""7225 S Durango Dr, Ste 105""","89113",4.5,50,"Restaurants;Korean;Tapas/Small Plates;Japanese;Food;Street Vendors",1,"0",574,FALSE
"21","_ek_DoAnoHtpwaBwaIFr4Q","""Starbucks""","Southeast","""9725 S Maryland Pkwy""","89183",2.5,7,"Food;Coffee & Tea",1,"0",1151,FALSE
"22","_ewxwEwJM-IYfIYnKpQOZw","""Mexicali Raspados""","Eastside","""4865 S Pecos Rd""","89121",4.5,47,"Restaurants;Ice Cream & Frozen Yogurt;Shaved Ice;Hot Dogs;Food",1,"0",1391,FALSE
"23","_fKi0myDrskrl8xmnAKJyA","""Ben & Jerry's""","The Strip","""3411 Las Vegas Blvd S""","89109",3,12,"Desserts;Ice Cream & Frozen Yogurt;Food",1,"0",3785,FALSE
"24","_Fo8uNT17BEBUkKvUXCZkQ","""Tacos La Carreta""","Spring Valley","""9010 W Flamingo Rd, Ste A""","89147",4.5,45,"Food;Mexican;American (New);Restaurants",1,"1",1129,FALSE
"25","_gMR_YdsMwwKy63-UwjdnA","""Ohana Hawaiian BBQ""","Southwest","""7945 S Rainbow Blvd, Ste A""","89139",4,40,"Chinese;Restaurants;Hawaiian;Barbeque",1,"0",617,FALSE
"26","_hML_SleB40KkUrMHOZ_-Q","""Rx Boiler Room""","The Strip","""3930 Las Vegas Blvd""","89119",4,401,"American (Traditional);Cocktail Bars;Nightlife;Bars;Restaurants;American (New)",0,"1",2113,FALSE
"27","_iUq8i7GmSXDOsuM0UiQCg","""Starbucks""","The Strip","""3475 Las Vegas Blvd, Fl 2, Harrahs Casino Lv Lobby Int""","89109",2.5,66,"Coffee & Tea;Food",1,"0",1930,TRUE
"28","_iySw-CXvA2wx0sn8pRiAA","""Starbucks""","Summerlin","""11720 W Charleston Blvd""","89135",2,7,"Coffee & Tea;Food",1,"0",2147,TRUE
"29","_j2EtQtgLuXGRBfbM5YwZA","""Noodle Asia""","The Strip","""3355 Las Vegas Blvd S""","89109",3.5,963,"Noodles;Asian Fusion;Chinese;Dim Sum;Restaurants",1,"0",4697,FALSE
"30","_JbuDLG7SFEtiCVDT1M0CQ","""Bowlology""","Summerlin","""10870 W Charleston Blvd, Ste 140""","89135",4,189,"Live/Raw Food;Food;Acai Bowls;Poke;Restaurants;Juice Bars & Smoothies",1,"0",1618,FALSE
"31","_K2_Yf_ltfhuJ2JGCOs85g","""S7 Buffet""","Eastside","""4100 S Paradise Rd""","89169",2.5,106,"Buffets;Restaurants",1,"0",3553,FALSE
"32","_kb6GT4qawjwq47OsQ52xw","""Paradise Garden Buffet""","The Strip","""3555 Las Vegas Blvd S""","89109",2.5,435,"Restaurants;Buffets",1,"0",4107,FALSE
"33","_Kd0kQ8RF70hJ1ykLqCRyQ","""Cafe Rio""","Southeast","""9595 S Eastern Ave""","89123",3.5,340,"Mexican;Restaurants",1,"0",4147,FALSE
"34","_kdpjoGrIzA64E6aXHA66w","""Barcelona Tapas""","Southwest","""10690 Southern Highlands Pkwy""","89141",4,413,"Restaurants;Tapas Bars;Spanish",0,"0",3514,FALSE
"35","_ng1XrWNbJZgAsqZlyb7cg","""Pumpkin & Pecan Shish Kabob Shop""","The Strip","""380 W Sahara Ave""","89102",2,7,"Mediterranean;Restaurants",1,"0",2694,FALSE
"36","_O5zubqsiY9kEaNAmR-24w","""The Baking Cup Sweet Shop""","Summerlin","""1600 N Rampart Blvd""","89128",5,32,"Farmers Market;Bakeries;Cupcakes;Food;Desserts",1,"0",1681,FALSE
"37","_OTl6V2oUfMMmoDWD2nXVg","""Beau Monde Bakery""","Summerlin","""2380 N Buffalo Dr, Ste 110""","89128",4,80,"Food;Gluten-Free;Restaurants;Bakeries",0,"0",2796,FALSE
"38","_paJE9yQfSvo25BKBQrKZA","""El Pollo Loco""","Southeast","""440 E Silverado Ranch Blvd""","89123",3,62,"Fast Food;Restaurants;Mexican",1,"0",3228,TRUE
"39","_QvGAqMmrUIlxpby2Ul5Dg","""Dona Maria Tamales Restaurant""","Northwest","""3205 N Tenaya Way""","89129",3.5,242,"Food;Desserts;Mexican;Seafood;Restaurants",1,"0",4251,FALSE
"40","_RiwESa2w64ls6y_5tE4CA","""Yoshi Burritos""","Spring Valley","""4165 S Grand Canyon Dr, Ste 100""","89147",4.5,161,"Food;Sushi Bars;Restaurants;Poke;Asian Fusion",1,"0",880,FALSE
"41","_sh6mIBWZis66mAjkjN8Qg","""Rachel's Kitchen""","Summerlin","""9691 Trailwood Dr""","89134",3.5,227,"Breakfast & Brunch;American (New);American (Traditional);Sandwiches;Restaurants;Juice Bars & Smoothies;Food",1,"1",2360,FALSE
"42","_TRbETlhqQq0OLzWbAPkvA","""Ace Donuts""","Spring Valley","""9435 W Tropicana Ave, Ste 103""","89147",4,136,"Food;Donuts",1,"0",1582,FALSE
"43","_V0yJdpXrbdKzBDoVSJGWA","""Silver Sevens Hotel and Casino""","Eastside","""4100 Paradise Rd""","89169",2.5,319,"Hotels & Travel;Hotels;American (Traditional);Food;Event Planning & Services;Restaurants;Arts & Entertainment;Casinos;Do-It-Yourself Food",1,"1",2105,FALSE
"44","_vHI2zsJp7b02MFJUWJgbw","""Sunville Bakery""","Chinatown","""4053 Spring Mountain Rd""","89102",4,98,"Food;Desserts;Bakeries",1,"0",4159,FALSE
"45","_vvK0PUe7KJtntpRVVAj4Q","""Carlitos Cuban Food""","Eastside","""2660 S Maryland Pkwy, Ste 21""","89109",4,23,"Cuban;Restaurants",1,"0",747,FALSE
"46","_w5hBpkjHs5_Hv3pLeHtIw","""Julian Serrano Tapas""","The Strip","""3730 Las Vegas Blvd S""","89109",4,1628,"Spanish;Tapas Bars;Restaurants",1,"0",3408,FALSE
"47","_WEZNXybW8cu1T1KAiY08w","""Blizz Frozen Yogert & Desserts""","The Strip","""3900 Las Vegas Blvd S""","89119",2.5,28,"Food;Juice Bars & Smoothies;Ice Cream & Frozen Yogurt;Desserts",1,"0",2029,FALSE
"48","_WrvsSqeeMhV1QbSj_QS9Q","""Jamba Juice""",NA,"""2546 East Craig Rd, Ste 135""","89030",3.5,40,"Food;Juice Bars & Smoothies",1,"0",3291,FALSE
"49","_y1Et7f4NE6D1P1GzphlIw","""Blaze Fast-Fire'd Pizza""","Centennial","""6211 N Decatur Blvd""","89130",4.5,343,"Salad;Gluten-Free;Restaurants;Fast Food;Pizza",1,"0",1354,FALSE
"50","_yAYxyEBMIbqFL8pubaf_g","""Taco Bell""","Westside","""7715 W. Sahara Ave.""","89117",4,11,"Mexican;Restaurants;Tex-Mex;Fast Food",1,"0",2343,FALSE
"51","_YIC05xpnIMIkn5LVwKf9w","""Popeyes Louisiana Kitchen""","The Strip","""3785 S Las Vegas Blvd""","89109",3,11,"Fast Food;American (Traditional);Restaurants;Chicken Wings",1,"1",1505,FALSE
"52","_ZAyDn90y0GppJQZ2Ah2Yw","""Starbucks""",NA,"""4111 Boulder Hwy""","89121",3.5,6,"Coffee & Tea;Food",1,"0",2195,TRUE
"53","-_TSaVr53qiEGqMkwyEMaQ","""Parsley Modern Mediterranean""",NA,"""4985 W Tropicana Ave""","89103",4.5,333,"Mediterranean;Restaurants;Middle Eastern;Sandwiches",1,"0",1361,FALSE
"54","-_yEVC3_3M6YOsamYfNFEw","""Jason's Deli""","Eastside","""3910 South Maryland Pkwy""","89119",4,178,"Sandwiches;Salad;American (New);Restaurants;Delis",1,"1",4434,FALSE
"55","--9e1ONYQuAa-CB_Rrw7Tw","""Delmonico Steakhouse""","The Strip","""3355 Las Vegas Blvd S""","89109",4,1451,"Cajun/Creole;Steakhouses;Restaurants",1,"1",5107,FALSE
"56","-0BxAGlIk5DJAGVkpqBXxg","""The Coffee Bean & Tea Leaf""","The Strip","""3355 Las Vegas Blvd S""","89162",3,40,"Food;Coffee & Tea",1,"0",4454,FALSE
"57","-1m9o3vGRA8IBPNvNqKLmA","""Bavette's Steakhouse & Bar""","The Strip","""3770 Las Vegas Blvd S""","89109",4.5,38,"African;Restaurants;Nightlife;Bars;Steakhouses;Cocktail Bars;American (New);Seafood",1,"1",544,FALSE
"58","-3zffZUHoY8bQjGfPSoBKQ","""Michael Mina""","The Strip","""3600 S Las Vegas Blvd""","89109",4,590,"Seafood;Bars;Nightlife;American (New);Restaurants",1,"1",4778,FALSE
"59","-46pFijv3f2jZH-_Ze6CQA","""Vegas Uncork'd: The Grand Tasting""","The Strip","""Caesars Palace""","89108",4,20,"Food;Wineries;Arts & Entertainment;Local Flavor",1,"0",3268,FALSE
"60","-8R_-EkGpUhBk55K9Dd4mg","""Sin City Thai Restaurant""",NA,"""4850 W Sunset Rd, Ste 115""","89118",3.5,105,"Thai;Restaurants",1,"0",2329,FALSE
"61","-95mbLJsa0CxXhpaNL4LvA","""The Perfect Scoop & Boba Tea""","Southwest","""7377 S Jones Blvd, Ste 115""","89139",3.5,609,"Ice Cream & Frozen Yogurt;Coffee & Tea;Food;Juice Bars & Smoothies;Bubble Tea;Desserts;Food Delivery Services",1,"0",2011,FALSE
"62","-9Ir5OiFiOszIgeFgalXcw","""Starbucks""",NA,"""3700 W Flamingo Rd""","89103",3,37,"Food;Coffee & Tea",1,"0",2913,TRUE
"63","-9YyInW1wapzdNZrhQJ9dg","""Fresh Buffet""","Eastside","""3000 Paradise Rd""","89109",2.5,171,"Buffets;Restaurants",1,"0",3842,FALSE
"64","-a857YYdjzgOdOjFFRsRXQ","""Beer Park""","The Strip","""3655 S Las Vegas Blvd""","89109",3.5,334,"Restaurants;Sandwiches;Sports Bars;American (Traditional);Food Stands;Burgers;Beer Bar;Nightlife;Bars;Cocktail Bars",1,"1",1180,FALSE
"65","-AD5PiuJHgdUcAK-Vxao2A","""Smashburger""","University","""4725 S Maryland Pkwy""","89119",3.5,274,"Restaurants;Burgers",1,"1",3046,FALSE
"66","-ADtl9bLp8wNqYX1k3KuxA","""Ichi Ramen House""","Centennial","""7920 W Tropical Pkwy, Ste 170""","89149",4,165,"Restaurants;Sushi Bars;Ramen;Asian Fusion;Japanese",1,"0",561,FALSE
"67","-Bf8BQ3yMk8U2f45r2DRKw","""In-N-Out Burger""",NA,"""1960 Rock Springs Dr""","89128",4,160,"Restaurants;Fast Food;Burgers",1,"1",3937,FALSE
"68","-Bv-HHUs8aHzDrdWcZHn8w","""Smashburger""","The Strip","""3570 Las Vegas Blvd S""","89019",3,70,"Burgers;Restaurants",1,"1",1350,TRUE
"69","-byybpV9bP2k0aJ6-WhiBA","""Pressed Juicery""","The Strip","""3730 S Las Vegas Blvd""","89158",4.5,46,"Juice Bars & Smoothies;Food",1,"0",1337,FALSE
"70","-cOVyWUJlasj-wpMAaWwvQ","""La Flor de Michoacan""","Southeast","""9711 S Eastern Ave, Ste H-1""","89183",4.5,34,"Ice Cream & Frozen Yogurt;Food",1,"0",995,FALSE
"71","-CQokjildrY7UZezXCdEBw","""Toddy Shop""","Westside","""238 S Rainbow Blvd""","89145",5,41,"Asian Fusion;American (Traditional);Nightlife;Restaurants;Bars;Bar Crawl;Indian;Dive Bars",0,"1",914,FALSE
