"","X","business_id","name","open_2019","neighborhood","august_2017_median","stars","review_count","categories","age"
"1",1,"_-3aZXuecjOSjramI1IBkA","""Fountain Grille Restaurant""",1,"Eastside",1375,3.5,3,"American (New);American (Traditional);Breakfast & Brunch;Restaurants","2010-03-13"
"2",2,"_0x7W6fizaPP76xNBxBLAQ","""Stephano's Greek & Mediterranean Grill""",1,"Spring Valley",1475,4,205,"Middle Eastern;Greek;Restaurants;Mediterranean;Lebanese","2016-03-28"
"3",3,"_2fjiOHfu-S7fS2n4wfySw","""Jersey Mike's Subs""",1,"Spring Valley",1475,4,56,"Restaurants;Sandwiches;Delis;Fast Food","2012-10-02"
"4",4,"_3FxLxdg1unUQc3QqIgJuA","""T-Bones Chophouse""",1,"South Summerlin",1872.5,3.5,385,"Steakhouses;Restaurants","2007-02-19"
"5",5,"_6UaHEnDDbUla3Pa3VVu3Q","""Asia Creamery""",1,"Southwest",1450,4.5,60,"Food;Ice Cream & Frozen Yogurt;Desserts;Custom Cakes","2016-12-30"
"6",6,"_8mBVtt6yhkS0YtT1FGBNg","""Nekter Juice Bar""",1,"Summerlin",1550,3.5,73,"Vegan;Acai Bowls;Juice Bars & Smoothies;Food;Restaurants;Gluten-Free","2015-08-26"
"7",7,"_AWD_scQBxowJ8gzorqcgA","""Wolf and Lamb PC""",1,"Spring Valley",1100,5,3,"Arts & Entertainment;Internet Cafes;Shopping;Video Game Stores;LAN Centers;Books;Mags;Music & Video;Food","2017-10-10"
"8",8,"_axD8DiO1to9Am8xJjtKHw","""Dunkin' Donuts""",1,"Spring Valley",1225,3.5,57,"Coffee & Tea;Food;Donuts","2011-05-10"
"9",9,"_bOlJfNELoVIiYGonYnPWw","""Sushi House""",1,"Sunrise",1095,3.5,31,"Restaurants;Sushi Bars;Japanese","2014-12-17"
"10",10,"_CpqFQNn-5cGtlGCuWI9uw","""Cowboy Trail Farm""",0,"Centennial",1450,5,5,"Farmers Market;Food","2012-09-07"
"11",11,"_cs_J4j8XXyBgihJs83qUg","""Church's Chicken""",1,"Southwest",1250,2,105,"Chicken Wings;Fast Food;Restaurants;Burgers","2012-06-26"
"12",12,"_eDVVS8wwXcdllaW6nfLyg","""Paid In Full""",1,"Spring Valley",1250,4.5,50,"Restaurants;Korean;Tapas/Small Plates;Japanese;Food;Street Vendors","2017-09-24"
"13",13,"_ek_DoAnoHtpwaBwaIFr4Q","""Starbucks""",1,"Southeast",1300,2.5,7,"Food;Coffee & Tea","2016-02-25"
"14",14,"_ewxwEwJM-IYfIYnKpQOZw","""Mexicali Raspados""",1,"Eastside",1100,4.5,47,"Restaurants;Ice Cream & Frozen Yogurt;Shaved Ice;Hot Dogs;Food","2015-06-30"
"15",15,"_Fo8uNT17BEBUkKvUXCZkQ","""Tacos La Carreta""",1,"Spring Valley",1300,4.5,45,"Food;Mexican;American (New);Restaurants","2016-03-18"
"16",16,"_gMR_YdsMwwKy63-UwjdnA","""Ohana Hawaiian BBQ""",1,"Southwest",1450,4,40,"Chinese;Restaurants;Hawaiian;Barbeque","2017-08-12"
"17",17,"_hML_SleB40KkUrMHOZ_-Q","""Rx Boiler Room""",0,"The Strip",855,4,401,"American (Traditional);Cocktail Bars;Nightlife;Bars;Restaurants;American (New)","2013-07-08"
"18",18,"_iySw-CXvA2wx0sn8pRiAA","""Starbucks""",1,"Summerlin",1872.5,2,7,"Coffee & Tea;Food","2013-06-04"
"19",19,"_JbuDLG7SFEtiCVDT1M0CQ","""Bowlology""",1,"Summerlin",1872.5,4,189,"Live/Raw Food;Food;Acai Bowls;Poke;Restaurants;Juice Bars & Smoothies","2014-11-15"
