"","business_id","name","neighborhood","address","postal_code","latitude","longitude","stars","review_count","open_2017","categories","open_2019","august_2017_median"
"3666","FAEO3WHP25djJsPDMwsk7w","""Apple Store""","South Summerlin","""1985 Festival Plz Dr""","89135",36.150073648,-115.333253145,3.5,124,1,"Shopping;Electronics;Computers;Local Services;Mobile Phones;IT Services & Computer Repair",1,1872.5
"4591","hxiE_H4MriOT_kFSr78H6Q","""Caldera Wealth Management""","Westside","""7881 W Charleston Blvd, Ste 220""","89117",36.1573254,-115.2638009,5,5,1,"Financial Services;Financial Advising;Insurance;Investing",1,1400
"1471","7I4TUpw38kLnkuQkoe0QuQ","""TA Travel Center""","Southwest","""8050 Dean Martin Dr""","89139",36.0430353175,-115.187519789,1.5,18,1,"Gas Stations;Automotive",1,1450
"7234","q3YnYPjLuBGRDi_59yTC5g","""Sidestreet Pho and Grill""","Westside","""8560 W Desert Inn Rd, Ste D1""","89117",36.1300289,-115.2777727,4.5,470,1,"Restaurants;American (Traditional);Vietnamese",1,1400
"5325","KaDO3aIp9pe2XePIHF2qow","""Terrible's Chevron""","Southwest","""8594 S Durango Dr""","89113",36.0308433609,-115.278220152,3.5,15,1,"Gas Stations;Automotive;Car Wash",1,1250
"9919","y96BbstrRrw_H27YNe8iLQ","""KMJ Web Design""","Southeast","""6615 S Eastern Ave, Ste 105""","89119",36.0693521,-115.1192738,5,3,1,"Software Development;Professional Services;Web Design",1,855
"9326","WG4SZbY6O3gjvaGHBs_F1w","""Nevada Drive Academy""","Southeast","""8275 S Eastern Ave, Ste 200-117""","89123",36.0389391,-115.1188132,5,7,1,"Education;Driving Schools;Specialty Schools",1,1395
"89","_nL5u09k7J7XAww1_UJ-tw","""Best Buy""","Spring Valley","""6950 Arroyo Crossing Pkwy""","89113",36.0645856,-115.2435426,2.5,177,1,"Fashion;Local Services;Department Stores;Computers;IT Services & Computer Repair;Home & Garden;Shopping;Appliances;Appliances & Repair;Electronics",1,1250
"591","1uV2q-xyz6zNWEjNaJ9C2g","""Sunset Shoe Repair""","Southeast","""2301 E Sunset Rd, Ste 5""","89119",36.0708637,-115.1201743,3.5,15,1,"Shoe Repair;Local Services",1,855
"8793","UsxSpv63crQ91mCzzYONTA","""Storage West Self Storage""","Eastside","""2700 E Flamingo Rd""","89121",36.1152725,-115.1136482,4.5,10,1,"Self Storage;Local Services",1,1100
"8895","v4nuyDiyzv2Tf81YrcrflQ","""L' Oracle Las Vegas""","Spring Valley","""7020 W Warm Springs Rd, Ste 170-180""","89113",36.0573181714,-115.245668533,5,12,1,"Summer Camps;Fitness & Instruction;Active Life;Performing Arts;Dance Studios;Arts & Entertainment;Gymnastics;Gyms",1,1250
"8151","swZaqSjwq4UF8QhEtacx5A","""EasyStreet Realty""","Southeast","""1421 E Sunset Rd, Ste 10""","89119",36.0712299,-115.1330676,5,5,1,"Real Estate Services;Real Estate;Home Services",1,855
"231","-mLGVF1rNoeMz6q0vnrpPQ","""Christina Cova Simmons - Berkshire Hathaway Home Services""","Spring Valley","""8850 W Sunset Rd, Ste 200""","89148",36.0717819,-115.2847169,5,6,1,"Real Estate Services;Real Estate;Home Services;Real Estate Agents",1,1475
"6248","N1jehnVwN90hlV7ow6Xv_Q","""Dinos Plumbing""","Summerlin","""10300 W Charleston Blvd, Ste 13-433""","89135",36.1605691,-115.3208852,4,29,1,"Professional Services;Home Services;Water Heater Installation/Repair;Plumbing;Local Services",1,1872.5
"8366","tlBguPOE_NQHoQO11mK5tQ","""Anytime Locksmith""","Eastside","""1801 E Tropicana Ave""","89119",36.1000666,-115.1273474,4.5,29,1,"Home Services;Keys & Locksmiths",1,855
"4581","hvuKpdYWyoFm6abwfQiipQ","""Sofia's Pizza""","Sunrise","""3124 Las Vegas Blvd N""","89115",36.2144129138,-115.097587776,2.5,17,1,"Restaurants;Pizza",1,1025
"7804","RuXXro-FVX8yhpjLu3xfFg","""Train Walk Poop""","South Summerlin","""10603 Foggy Glen Ave""","89135",36.144744,-115.324516,4.5,3,1,"Pet Sitting;Dog Walkers;Pets;Pet Services",1,1872.5
"4799","INc0lk5heP6P76vf5Ly4fA","""Grace Day Spa""","Westside","""7871 W Charleston Blvd, Ste 150""","89117",36.158669,-115.263591,3.5,3,1,"Day Spas;Beauty & Spas",1,1400
"10162","ytYtMuk0URV6tk9m0zhDoA","""Little Caesars Pizza""","Sunrise","""1995 N Nellis Blvd""","89115",36.1957909,-115.0628016,2.5,10,1,"Restaurants;Pizza",1,1025
"4364","HccqNuvwDCrnAAM5e5lQ_w","""Dunkin' Donuts""","Eastside","""4125 S Eastern Ave""","89119",36.1137416681,-115.119507374,3,51,1,"Bakeries;Food;Coffee & Tea;Donuts",1,855
"5741","LnCNoBfyLQVdk8CLj6ra4w","""Hope Church""","Southeast","""850 E Cactus Ave""","89183",35.9997183166,-115.145204121,4.5,17,1,"Churches;Religious Organizations",1,1300
"8029","sm9d8q9DJW6OVKeDlVUVKA","""Hazel M Wilson Dining Commons""","University","""4505 S Maryland Pkwy""","89119",36.104581,-115.140343,3,7,1,"Buffets;Restaurants",1,855
"9723","xlVwpc9fRwCRyLl47enTSA","""Wong Milton, MD""","The Lakes","""8925 W Sahara Ave""","89117",36.14287,-115.291453,2,7,1,"Health & Medical;Doctors",1,1400
"2624","C3KWFhK7jSN8kBm90_ikdQ","""Significance Orthodontics""","Spring Valley","""6018 S Fort Apache Rd""","89148",36.0789465,-115.2967302,5,4,1,"General Dentistry;Orthodontists;Dentists;Health & Medical",1,1475
"4251","GY6RuyVLPrhkS-XvbWJ2QQ","""Doctor Gary J La Tourette""","Downtown","""2100 Pinto Ln""","89106",36.1645064,-115.1702988,4,12,1,"Physical Therapy;Orthopedists;Health & Medical;Doctors",1,1100
"2107","am5MkaCYMJj4S2Y7A7Vz5w","""McGovern Sport & Fitness""","Southeast","""1335 E Sunset Rd, Ste I""","89119",36.0713410409,-115.13594532,5,3,1,"Gyms;Active Life;Trainers;Boot Camps;Fitness & Instruction;Sports Clubs",1,855
"2521","bSzOM_k_MgyclevFEFQJ7g","""Wirig Orthodontics""","Westside","""4610 Meadows Ln, Ste A""","89107",36.1705449,-115.2032751,4.5,7,1,"Dentists;Health & Medical;Orthodontists",1,1100
"3562","EVYGEs6vJwUPvapGPrKvfA","""Jack In the Box""","Southeast","""455 E Silverado Ranch Blvd""","89183",36.012855915,-115.153606915,2.5,34,1,"Restaurants;Fast Food",1,1300
"10393","zItqjJKi_Oa1-E9k3mnCRA","""Flight""","The Strip","""3900 Las Vegas Blvd S""","89119",36.0953785353,-115.175060727,4,4,1,"Cocktail Bars;Nightlife;Bars",1,855
"4812","IOghEbYa-m_23D5QrnO6jw","""Lash and Wax Room""","Southeast","""9850 S Maryland Pkwy, Ste 14""","89183",36.0107521902,-115.134126863,5,11,1,"Eyebrow Services;Beauty & Spas;Hair Removal;Waxing;Eyelash Service",1,1300
"6020","MfpIk2AO-49NkFeOi17xVg","""Sunrise Bargain Storage""","Sunrise","""1675 N Lamb Blvd""","89115",36.1895152819,-115.080163258,5,6,1,"Local Services;Self Storage",1,1025
"820","3i0LSSyKRSYLC9hbS-mYTg","""Dave's AutoTech""","Chinatown","""3540 S Jones Blvd, Ste 2""","89103",36.1246046,-115.2243737,5,39,1,"Automotive;Smog Check Stations;Auto Repair;Oil Change Stations",1,1225
"6046","mhxbEzJAmF7WKeyJIZKgjQ","""Top Notch THC""","Southeast","""5630 Stephanie St""","89122",36.0872636,-115.04551,4,23,1,"Cannabis Dispensaries;Shopping",1,1195
"2692","cEEoMcZnRO5bO_H3AjFQZg","""Reliquary Spa""","Eastside","""Hard Rock Hotel & Casino, 4455 Paradise Rd""","89169",36.1100828,-115.1538714,3.5,73,1,"Day Spas;Beauty & Spas",1,1375
"10149","ysU4FFGibNTCdQz5sgKi8g","""Robert H. Thalgott, DMD, MS""","Summerlin","""1945 Village Center Cir, Ste 110""","89134",36.1919182,-115.302885,4.5,15,1,"Orthodontists;Health & Medical;Dentists",1,1550
"180","-cEm3lF3pLuVNJvT9mV4Dg","""Doggie Stylz Grooming""","Centennial","""8400 Farm Rd, Ste 110""","89131",36.2994788,-115.2791069,4,58,1,"Pet Transportation;Pet Groomers;Pet Services;Pets",1,1450
"5384","kFbyPRSfnaiZiMBvXQHj9w","""Nail Story""","Westside","""8000 W Sahara Ave, Ste 150""","89117",36.1442895,-115.266008,4.5,75,1,"Eyelash Service;Hair Removal;Beauty & Spas;Waxing;Nail Salons",1,1400
"6833","owxcYAUca_6K6BAUX4V48w","""D'Pinoy Joint""","Southeast","""7680 S Las Vegas Blvd, Ste 202""","89123",36.0502687,-115.1710527,4.5,76,1,"Filipino;Restaurants",1,1395
"834","3kpEXLnOBs2CFNw-iMV8mA","""Volcom Outlet Store""","Downtown","""875 S Grand Pkwy""","89106",36.1638579,-115.1594148,4,5,1,"Shopping;Fashion;Sporting Goods;Sports Wear",1,1100
"516","1CTapYK3FHvpiJaQhOaaIw","""L & L Hawaiian Barbecue""","Southeast","""2060 E Serene Ave, Ste 100""","89123",36.0208681,-115.1247688,3.5,92,1,"Hawaiian;Restaurants;Barbeque",1,1395
"7106","prHnRsgY-PuM7vxe8-RwEA","""Ho Ho Ho Chinese""","Summerlin","""10217 W Charleston Blvd""","89135",36.1584825,-115.3171465,2,92,1,"Restaurants;Chinese",1,1872.5
"626","23OiTugDZFlzEbUtLbv_-w","""Cvs Pharmacy""","Eastside","""4595 E Flamingo Rd""","89121",36.1142799,-115.0742843,3.5,5,1,"Shopping;Drugstores",1,1100
"5506","Ks2h1UIyJPBQO7Q-5kvvnw","""Athleticare""","Southeast","""8333 S Eastern Ave""","89123",36.0371049,-115.1186284,5,9,1,"Health & Medical;Physical Therapy",1,1395
"1583","86IjhsgGwc3fUbq8Y_crWw","""Paws-A-Tive Dog Training""","Southwest","""8700 Dean Martin""","89139",36.0393995236,-115.183241698,5,14,1,"Pet Training;Pet Services;Pets",1,1450
"8746","UOjJsDj-rgtk1IWfunFVPQ","""Mattress Firm Enterprise""","Southwest","""3815 Blue Diamond Rd, Ste 105""","89139",36.0396437253,-115.190552563,5,8,1,"Home & Garden;Shopping;Furniture Stores;Mattresses",1,1450
"6585","O9KhMrEN6F_sZLJp5VfOdg","""A Touch Above Chiropractic""","Spring Valley","""6053 S Fort Apache Rd, Ste 100""","89148",36.07859,-115.2987918,5,12,1,"Chiropractors;Health & Medical",1,1475
"1454","7EG0PfwZZQulDGMj7VznwQ","""United States Postal Services""","Northwest","""8350 W Cheyenne Ave""","89129",36.2198013,-115.2751776,1.5,4,1,"Public Services & Government;Post Offices",1,1300
"7071","PnSOaN7kg6S9fFHX9RCtMA","""Milano's Pizza""","Chinatown","""3650 S Decatur Blvd, Ste 26""","89103",36.123621,-115.2074151,2.5,6,1,"Restaurants;Pizza",1,1225
"9003","VgiJuZOjvunbQf5PlpGsQA","""Nevada Eye & Ear""","Spring Valley","""9455 W Russell Rd""","89148",36.0845528,-115.2992636,2.5,4,1,"Laser Eye Surgery/Lasik;Optometrists;Ophthalmologists;Doctors;Health & Medical",1,1475
"1862","9rakGA-qEoBqIStFNb5iLg","""Ambassador Limousine""","Chinatown","""3215 Cinder Ln""","89103",36.122412,-115.181458,3,5,1,"Transportation;Limos;Hotels & Travel",1,1225
"8767","uQkmKBC_j9yFsXSoi7avIQ","""Las Vegas Premier Paintball""","Summerlin","""1400 N Rampart Blvd""","89128",36.1861729,-115.2848565,3.5,32,1,"Paintball;Party & Event Planning;Event Planning & Services;Gun/Rifle Ranges;Active Life",1,1100
"10124","Yq8ASf8OS7SEs1dXHsfwwA","""Window Genie of West Las Vegas""","Southeast","""8275 South Eastern Ave, Ste 200-430""","89123",36.0388712,-115.1189911,5,17,1,"Pressure Washers;Home Window Tinting;Home Services;Window Washing",1,1395
"313","02wo3mCCkdED47sNPwuu6Q","""Baby Lou's Delights""","Southeast","""6605 S Las Vegas Blvd""","89119",36.0671511,-115.1757889,3.5,26,1,"Caterers;Food Delivery Services;Event Planning & Services;Bakeries;Food;Cupcakes",1,855
"371","0HrmyPHRtPwr3NHGQCP0HA","""Kainan Asian Market & Gift Shop""","Southeast","""9620 Las Vegas Blvd S, Ste N2""","89123",36.0149693,-115.1715428,4,21,1,"Ethnic Food;International Grocery;Specialty Food;Food",1,1395
"348","0dVEWi9R3oHMCdzP_TaPNQ","""Family Music Centers""","Westside","""8125 W Sahara Ave""","89117",36.142544,-115.2687306,4.5,11,1,"Musical Instruments & Teachers;Piano Services;Musical Instrument Services;Shopping;Local Services",1,1400
"6206","MxRNfjQywFs8sm5_VtuAng","""Zia Khan, MD - Desert Cardiovascular Consultants""","Spring Valley","""5785 S Fort Apache, Ste A-100""","89148",36.0835491,-115.2980382,4.5,3,1,"Doctors;Cardiologists;Health & Medical",1,1475
"7020","Pj7itML6Wocbp4cLuUmBBg","""Kayenta Therapy""","Summerlin","""9414 W Lake Mead Blvd""","89134",36.207306,-115.300481,4,6,1,"Health & Medical;Counseling & Mental Health",1,1550
"2666","cbgIpJwmPVI6Zf7nUIXdFw","""Pizza Company""","Southeast","""2275 E Sunset Rd""","89119",36.0711094,-115.1211894,4,171,1,"Food;Pizza;Restaurants",1,855
"5818","Lu4bAUg2uv4TWcl6cHLcPQ","""Mrs Fields Cookies""","Westside","""4300 Meadows Ln, Ste 133A""","89107",36.1725319,-115.197258,2.5,9,1,"Farmers Market;Food;Desserts",1,1100
"9330","wGCZMkP_GeDmfGWkdi5KHw","""Center For Sight""","Northwest","""5871 W Craig Rd""","89130",36.2373711,-115.225069,3.5,16,1,"Ophthalmologists;Health & Medical;Doctors;Laser Eye Surgery/Lasik",1,1330
"4744","IhPOQdaC0ASK36Z569fheQ","""Couples Massage In Las Vegas""","Eastside","""4660 S Easter Ave, Ste 201""","89119",36.1043814,-115.1184778,5,3,1,"Day Spas;Beauty & Spas;Massage Therapy;Massage;Health & Medical",1,855
"10472","zq9Lw8ZKzjCS3ubdH5Ve8Q","""Realty ONE Group""","Northwest","""5550 Painted Mirage, Suite 130""","89149",36.261814,-115.2549683,4,4,1,"Real Estate Agents;Real Estate;Home Services",1,1350
"2666.1","cbgIpJwmPVI6Zf7nUIXdFw","""Pizza Company""","Southeast","""2275 E Sunset Rd""","89119",36.0711094,-115.1211894,4,171,1,"Food;Pizza;Restaurants",1,855
"6531","Nz7qt2GIE6XVqDZvjCnWcQ","""Kinel Family Medicine PC""","Spring Valley","""8880 W Sunset Rd""","89148",36.0708543,-115.2858014,4.5,16,1,"Doctors;Health & Medical;Family Practice",1,1475
"5297","K7o9ZercitOI3BzqkBwGCA","""Showboy BakeShop""","South Summerlin","""3370 S Hualapai Way, Ste 125""","89117",36.1283804476,-115.315215737,4.5,52,1,"Food;Custom Cakes;Cupcakes;Bakeries",1,1400
